Curso,Media,NumEncuestas,Centro,Titulacion.x,Cod_Centro,Cod_Titulacion,Titulacion.y,Tasa_Rendimiento,Alumnos_Egresados,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
2020_2021,4.18,1.379,Facultad de Filología,Grado en Estudios Ingleses,16,183,Grado en Estudios Ingleses,0.7104820198928845,27858,39210,0.2585034013605442,38,147
2020_2021,4.36,54,Facultad de Filología,Grado en Filología Clásica,16,184,Grado en Filología Clásica,0.6485998193315267,4308,6642,0.5348837209302325,23,43
2020_2021,4.22,606,Facultad de Filología,Grado en Filología Hispánica,16,159,Grado en Filología Hispánica,0.6052784785561809,18714,30918,0.3828125,49,128
2020_2021,4.14,188,Facultad de Filología,Grado en Lengua y Literatura Alemanas,16,185,Grado en Lengua y Literatura Alemanas,0.7109458023379384,4014,5646,0.40816326530612246,20,49
2020_2021,4.38,396,Facultad de Filosofía,Grado en Filosofía,12,160,Grado en Filosofía,0.7273726639794796,11910,16374,0.22388059701492535,15,67
2020_2021,3.88,231,Facultad de Física,Grado en Física,6,162,Grado en Física,0.6192232055063913,15114,24408,0.32727272727272727,36,110
2020_2021,4.04,40,Facultad de Física,Grado en Ingeniería de Materiales,6,222,Grado en Ingeniería de Materiales,0.533609489738279,4251,7966,0.175,7,40
2020_2021,4.15,160,Facultad de Geografía e Historia,Grado en Antropología Social y Cultural,4,188,Grado en Antropología Social y Cultural,0.6462128475551294,8088,12516,0.31746031746031744,20,63
2020_2021,4.07,731,Facultad de Geografía e Historia,Grado en Historia,4,166,Grado en Historia,0.6691801480669043,29286,43764,0.30357142857142855,51,168
2020_2021,4.07,630,Facultad de Geografía e Historia,Grado en Historia del Arte,4,167,Grado en Historia del Arte,0.6430538555691554,25218,39216,0.41040462427745666,71,173
2020_2021,4.03,486,Facultad de Matemáticas,Grado en Matemáticas,17,171,Grado en Matemáticas,0.6278841433480609,23022,36666,0.2413793103448276,35,145
2020_2021,4.02,383,Facultad de Medicina,Grado en Biomedicina Básica y Experimental,14,217,Grado en Biomedicina Básica y Experimental,0.9166001596169194,10336,11277,0.1,5,50
